Well Position	Cycle	Target Name	Rn	Delta Rn
G6	4	Target 1	-0.811	0.004
G6	5	Target 1	-0.788	0.022
G6	6	Target 1	-0.799	0.006
G6	7	Target 1	-0.81	-0.01
G6	8	Target 1	-0.852	-0.057
G6	9	Target 1	-0.849	-0.059
G6	10	Target 1	-0.766	0.019
G6	11	Target 1	-0.777	0.004
G6	12	Target 1	-0.755	0.021
G6	13	Target 1	-0.754	0.017
G6	14	Target 1	-0.754	0.012
G6	15	Target 1	-0.764	-0.003
G6	16	Target 1	-0.767	-0.011
G6	17	Target 1	-0.75	0.001
G6	18	Target 1	-0.72	0.026
G6	19	Target 1	-0.691	0.05
G6	20	Target 1	-0.627	0.11
G6	21	Target 1	-0.542	0.19
G6	22	Target 1	-0.438	0.289
G6	23	Target 1	-0.312	0.41
G6	24	Target 1	-0.195	0.522
G6	25	Target 1	-0.126	0.586
G6	26	Target 1	-0.069	0.638
G6	27	Target 1	-0.042	0.66
G6	28	Target 1	-0.024	0.673
G6	29	Target 1	-0.02	0.672
G6	30	Target 1	-0.015	0.672
G6	31	Target 1	-0.001	0.681
G6	32	Target 1	0	0.677
G6	33	Target 1	-0.005	0.668
G6	34	Target 1	0	0.667
G6	35	Target 1	0.025	0.687
G6	36	Target 1	0.024	0.681
G6	37	Target 1	0.02	0.673
G6	38	Target 1	0.017	0.665
G6	39	Target 1	0.017	0.66
G6	40	Target 1	0.024	0.662
